Numestdo;Ciclo;Estado;Varianza;Rango;SMA grueso;Promedio del espectro;SMA fino
0;0.036-0.579;Comun;1,2624000289639e-05;0,03183101126799208;1,357476937276962;1,196478871621546e-09;0,1672323302048435
0;0.579-2.45;Comun;1,530045935930772e-05;0,03648123156324663;4,964283363272305;1,2885551578228684e-09;0,20001702647274508
0;2.45-3.893;Comun;1,7514113015090354e-05;0,037357596708497434;3,8294300818856657;1,5354283429924712e-09;0,24235488890735596
0;3.893-5.793;Comun;1,4082960192623086e-05;0,03511316866798235;4,5942669768308395;1,2768119613261385e-09;0,20341959235607507
0;5.793-7.521;Comun;1,73135613317799e-05;0,03942443119342054;4,263507328654495;1,4437540944086586e-09;0,2083008104725003
0;7.521-9.279;Comun;1,6744546231662526e-05;0,03985116546609391;4,491298333678293;1,4311522729679269e-09;0,2058580678655335
0;9.279-11.15;Comun;1,5136958283753025e-05;0,03477860554376508;4,665913371000831;1,2953322110259726e-09;0,20868356124910717
0;11.15-13.036;Comun;1,6344974657434938e-05;0,03777184543554263;4,673924772696443;1,5009893778835738e-09;0,21829371207541062
0;13.036-14.721;Comun;1,5852527035878264e-05;0,04078187023938991;4,090729191944701;1,4697019333916991e-09;0,2147790004496598
0;14.721-16.707;Comun;1,4995685290402458e-05;0,037010231921222325;4,593198082624844;1,379694377769384e-09;0,20467873235812983
0;16.707-18.507;Comun;1,4122403476590722e-05;0,03383085614765785;4,235598788951166;1,2545729895093425e-09;0,2345975603723847
0;18.507-19.964;Comun;1,5501069829849466e-05;0,0400507004650322;3,4778420130223955;1,41629232784912e-09;0,19836694991728776
0;0.036-1.264;Comun;1,994400746270489e-06;0,011913532593753634;1,137543176810775;1,4699797245379914e-10;0,07421441899877464
0;1.264-3.422;Comun;2,390802176381373e-06;0,017061943119128745;2,3989796258982827;2,1979233710732428e-10;0,09578640615157095
0;3.422-5.55;Comun;2,1074675817276002e-06;0,016771302701998246;2,134551172363091;1,8231808967981443e-10;0,09454016855956238
0;5.55-7.436;Comun;2,500531528731781e-06;0,013674684301882963;2,046278481726291;1,7724835161938177e-10;0,08614422508877181
0;7.436-9.221;Comun;2,426383503407753e-06;0,015327520571209712;2,050367278273255;2,178900748850669e-10;0,0790133845605662
0;9.221-11.264;Comun;2,888584716994534e-06;0,017196122125830854;2,5314402243060754;2,652451703349622e-10;0,10663780079091305
0;11.264-13.264;Comun;2,1866861305023156e-06;0,014258376960212999;2,0189046711306955;1,9288444734749754e-10;0,08701721632842686
0;13.264-15.179;Comun;2,113011435174982e-06;0,011309813739113841;2,0952244858334703;1,8860362985201205e-10;0,07209625828900937
0;15.179-17.207;Comun;2,0401286841778596e-06;0,014717299343876304;2,17153011686477;1,8240303682511727e-10;0,08842207980040412
0;17.207-19.179;Comun;2,9852695795110657e-06;0,01769706445951475;2,5539903872727656;2,7065623402162194e-10;0,10073424682181983
0;19.179-19.936;Comun;5,207732344214237e-06;0,014277591930660924;1,312413228203536;4,68794357184971e-10;0,09181221992653409
0;0.264-1.736;Comun;2,286056474330687e-06;0,014442482346595476;1,8180547903723079;2,1331521866505061e-10;0,1003857941563908
0;1.736-3.293;Comun;3,5859132808178338e-06;0,01476850541905869;2,483511071105278;3,163547585595058e-10;0,10457824727169421
0;3.293-5.307;Comun;1,791073999474991e-06;0,013842374588338336;2,103172767691658;1,6003613356152934e-10;0,09394923411400621
0;5.307-6.636;Comun;2,674834023623496e-06;0,014517154351839381;1,794727206810253;2,395513109463337e-10;0,09530443531359521
0;6.636-8.036;Comun;2,7576242257370794e-06;0,014858172889303092;2,0501172790498843;2,558094933594021e-10;0,11051819653491271
0;8.036-9.607;Comun;2,878132560960342e-06;0,016033724313409527;2,108622339831347;2,4407249243094164e-10;0,12180192068497804
